ID,class,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkRoot,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,ringNumber,ringType,sporePrintColor,population,habitat
1,poisonous,flat,scaly,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,paths
2,poisonous,convex,smooth,buff,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,smooth,smooth,white,white,1,pendant,chocolate,scattered,urban
3,edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,1,pendant,black,solitary,paths
4,edible,convex,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,black,several,woods
5,edible,knobbed,smooth,brown,none,none,attached,close,broad,yellow,enlarging,cup,smooth,smooth,orange,orange,1,pendant,brown,clustered,leaves
6,poisonous,knobbed,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
7,edible,bell,smooth,white,none,none,free,crowded,broad,gray,enlarging,cup,silky,smooth,white,white,2,pendant,white,scattered,grasses
8,poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,1,pendant,black,several,grasses
9,poisonous,flat,fibrous,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,brown,1,large,chocolate,solitary,woods
10,edible,flat,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,brown,solitary,woods
11,edible,flat,fibrous,gray,none,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,abundant,grasses
12,edible,flat,fibrous,white,none,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,scattered,grasses
13,edible,flat,smooth,brown,none,none,free,close,broad,white,enlarging,bulbuous,scaly,scaly,brown,brown,2,pendant,white,solitary,woods
14,edible,flat,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,several,woods
15,edible,bell,smooth,brown,none,none,attached,close,broad,orange,enlarging,cup,smooth,smooth,orange,orange,1,pendant,brown,clustered,leaves
